,test_values,,for_notes,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,cashe,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
47756,,,,City Hotel,1.0,70.0,2016.0,March,,10.0,3.0,0.0,2.0,2.0,0.0,0.0,BB,CHN,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,78.3,0.0,0.0,Canceled,2015-12-27
47757,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47758,,,,City Hotel,1.0,1.0,2016.0,March,,10.0,3.0,0.0,2.0,1.0,0.0,0.0,BB,NGA,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,101.0,0.0,0.0,No-Show,2016-03-03
47759,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47760,,,,City Hotel,1.0,46.0,2016.0,March,,10.0,3.0,0.0,3.0,1.0,0.0,0.0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,73.9,0.0,0.0,Canceled,2016-03-02
47761,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47762,,,,City Hotel,1.0,6.0,2016.0,March,,10.0,3.0,0.0,3.0,2.0,0.0,0.0,BB,MAR,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,116.0,0.0,0.0,Canceled,2016-02-29
47763,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47764,,,,City Hotel,0.0,66.0,2016.0,March,,10.0,3.0,0.0,3.0,2.0,0.0,0.0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,80.3,0.0,1.0,Check-Out,2016-03-06
47765,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47766,,,,City Hotel,0.0,89.0,2016.0,March,,10.0,3.0,0.0,3.0,2.0,0.0,0.0,BB,FRA,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,80.3,0.0,0.0,Check-Out,2016-03-06
47767,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47768,,,,City Hotel,1.0,16.0,2016.0,March,,10.0,3.0,0.0,3.0,2.0,0.0,0.0,SC,DEU,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,84.33,0.0,0.0,Canceled,2016-02-29
47769,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47770,,,,City Hotel,0.0,80.0,2016.0,March,,10.0,3.0,0.0,3.0,2.0,0.0,0.0,BB,GBR,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,8.0,,0.0,Transient,80.3,0.0,1.0,Check-Out,2016-03-06
47771,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47772,,,,City Hotel,1.0,22.0,2016.0,March,,10.0,3.0,0.0,3.0,2.0,0.0,0.0,BB,ESP,Online TA,TA/TO,0.0,0.0,0.0,A,A,2.0,No Deposit,9.0,,0.0,Transient,94.33,0.0,2.0,Canceled,2016-02-14
47773,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47774,,,,City Hotel,1.0,6.0,2016.0,March,,10.0,3.0,0.0,3.0,3.0,0.0,0.0,BB,MAR,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,137.0,0.0,0.0,Canceled,2016-02-29
47775,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47776,,,,City Hotel,1.0,11.0,2016.0,March,,10.0,3.0,1.0,3.0,2.0,0.0,0.0,HB,ITA,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,138.0,0.0,0.0,Canceled,2016-02-26
47777,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47778,,,,City Hotel,0.0,74.0,2016.0,March,,10.0,3.0,1.0,3.0,2.0,0.0,0.0,BB,FRA,Direct,Direct,0.0,0.0,0.0,A,A,0.0,No Deposit,14.0,,0.0,Transient,65.75,0.0,0.0,Check-Out,2016-03-07
47779,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47780,,,,City Hotel,1.0,35.0,2016.0,March,,10.0,3.0,1.0,3.0,2.0,0.0,0.0,SC,SWE,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,71.1,0.0,0.0,Canceled,2016-01-30
47781,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47782,,,,City Hotel,1.0,11.0,2016.0,March,,10.0,3.0,1.0,3.0,3.0,0.0,0.0,HB,ITA,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,193.0,0.0,0.0,Canceled,2016-02-26
47783,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47784,,,,City Hotel,1.0,12.0,2016.0,March,,10.0,3.0,2.0,5.0,2.0,0.0,0.0,BB,RUS,Online TA,TA/TO,0.0,0.0,0.0,D,D,0.0,No Deposit,9.0,,0.0,Transient,111.14,0.0,0.0,Canceled,2016-02-29
47785,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47786,,,,City Hotel,0.0,62.0,2016.0,March,,10.0,3.0,2.0,3.0,2.0,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0.0,0.0,A,A,0.0,No Deposit,9.0,,0.0,Transient,71.6,0.0,0.0,Check-Out,2016-03-08
47787,,,,For notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
